+------+--------------+--------------+-----------+
|   ID |   Rank (580) |   Percentile |   Av Plus |
| 0165 |           52 |     91.3793  |     54.83 |
| 0169 |           34 |     94.6552  |     61.83 |
| 0171 |          320 |     45.6897  |     -4.17 |
| 0177 |           42 |     93.2759  |     58.83 |
| 0173 |           34 |     94.6552  |     61.83 |
| 0174 |           15 |     97.5862  |     77.83 |
| 0175 |           23 |     96.2069  |     67.83 |
| 0172 |           39 |     93.4483  |     59.83 |
| 0170 |          281 |     52.2414  |      1.83 |
| 0178 |           14 |     97.7586  |     78.83 |
| 0189 |          556 |      4.31034 |    -71.17 |
| 0183 |          137 |     77.2414  |     31.83 |
| 0184 |          484 |     16.8966  |    -45.17 |
| 0182 |          504 |     13.6207  |    -50.17 |
| 0187 |           30 |     95.1724  |     62.83 |
| 0185 |          548 |      6.03448 |    -68.17 |
| 0180 |          132 |     77.5862  |     32.83 |
| 0190 |          435 |     25.5172  |    -29.17 |
| 0198 |           21 |     96.5517  |     70.83 |
| 0194 |          428 |     26.5517  |    -27.17 |
| 0195 |           70 |     88.2759  |     49.83 |
| 0204 |           70 |     88.2759  |     49.83 |
| 0207 |           78 |     87.069   |     47.83 |
| 0209 |          435 |     25.5172  |    -29.17 |
| 0203 |           25 |     96.0345  |     65.83 |
| 0218 |          368 |     37.2414  |    -14.17 |
| 0211 |          518 |     11.0345  |    -56.17 |
| 0219 |          171 |     71.0345  |     25.83 |
| 0214 |          148 |     75.3448  |     29.83 |
| 0216 |          350 |     40.1724  |    -10.17 |
| 0210 |           90 |     85       |     43.83 |
| 0217 |          424 |     27.2414  |    -26.17 |
| 0215 |          272 |     53.7931  |      3.83 |
| 0221 |          470 |     19.3103  |    -39.17 |
| 0223 |          572 |      1.89655 |    -78.17 |
| 0222 |           42 |     93.2759  |     58.83 |
| 0226 |          129 |     78.1034  |     33.83 |
| 0234 |          181 |     69.3103  |     23.83 |
| 0232 |          148 |     75.3448  |     29.83 |
| 0231 |          106 |     81.8966  |     38.83 |
| 0235 |          435 |     25.5172  |    -29.17 |
| 0243 |          199 |     66.2069  |     19.83 |
| 0248 |           54 |     91.0345  |     53.83 |
| 0240 |           38 |     93.7931  |     60.83 |
| 0241 |           30 |     95.1724  |     62.83 |
| 0247 |          191 |     67.5862  |     21.83 |
| 0244 |           98 |     83.2759  |     40.83 |
| 0249 |          328 |     43.9655  |     -5.17 |
| 0256 |          253 |     56.8966  |      7.83 |
| 0254 |          378 |     35.1724  |    -17.17 |
| 0252 |          479 |     17.931   |    -43.17 |
| 0253 |            6 |     99.3103  |     85.83 |
| 0258 |          262 |     55.1724  |      5.83 |
| 0251 |          394 |     32.5862  |    -20.17 |
| 0250 |          534 |      8.27586 |    -64.17 |
| 0255 |          542 |      7.06897 |    -66.17 |
| 0257 |          402 |     31.3793  |    -22.17 |
| 0264 |          258 |     56.0345  |      6.83 |
| 0260 |            9 |     98.7931  |     82.83 |
| 0268 |           60 |     90.3448  |     52.83 |
| 0266 |           16 |     97.4138  |     76.83 |
| 0282 |          114 |     80.8621  |     36.83 |
| 0292 |          159 |     73.2759  |     27.83 |
| 0305 |           82 |     86.2069  |     45.83 |
| 0300 |          456 |     21.8966  |    -35.17 |
| 0314 |          272 |     53.7931  |      3.83 |
| 0311 |           70 |     88.2759  |     49.83 |
| 0318 |          320 |     45.6897  |     -4.17 |
| 0313 |           96 |     83.9655  |     41.83 |
| 0322 |          530 |      8.96552 |    -62.17 |
| 0327 |          119 |     80.1724  |     35.83 |
| 0329 |          137 |     77.2414  |     31.83 |
| 0326 |          281 |     52.2414  |      1.83 |
| 0321 |          125 |     78.9655  |     34.83 |
| 0323 |           34 |     94.6552  |     61.83 |
| 0339 |          460 |     21.0345  |    -36.17 |
| 0331 |          266 |     54.6552  |      4.83 |
| 0344 |          281 |     52.2414  |      1.83 |
| 0347 |          479 |     17.931   |    -43.17 |
| 0355 |          340 |     42.2414  |     -7.17 |
| 0357 |          340 |     42.2414  |     -7.17 |
| 0358 |          328 |     43.9655  |     -5.17 |
| 0366 |          272 |     53.7931  |      3.83 |
| 0364 |          402 |     31.3793  |    -22.17 |
| 0360 |          176 |     70.1724  |     24.83 |
| 0363 |          227 |     61.3793  |     13.83 |
| 0378 |          368 |     37.2414  |    -14.17 |
| 0375 |          384 |     34.4828  |    -18.17 |
| 0376 |          242 |     58.7931  |     10.83 |
| 0372 |          148 |     75.3448  |     29.83 |
| 0377 |          460 |     21.0345  |    -36.17 |
| 0380 |          378 |     35.1724  |    -17.17 |
| 0384 |          159 |     73.2759  |     27.83 |
