ID NO,"Ortho total (25)",Ortho comments,"Lines(25)",Lines comments,"Planes total(20)",Planes comments,"Total(70)"
2022A4PS0223P,16,"missing hidden lines,center lines
missing hidden lines,center lines
missing hidden lines",4,Wrong,0,"Wrong orientation, Drawn Heptagon, Circle
diameter wrong",20
2022AAPS0241P,17,12,Wrong Procedure,7.5,"Circle diameter wrong, Incomplete Part 2,
Did not do Part 3, No labelling and
dimensioning, Wrong linetype",36.5,
2022AAPS0331P,19,23,Many dimensions are missing,18,"Circle diameter wrong, Missing
dimensioning, Part 1 and 2 wrong linetype,
but Correct answer",60,
2022A3PS0457P,17,"missing hidden lines,center lines",12,Wrong Procedure,9.5,"Incomplete Part 2, Did not do Part 3,
Incorrect labelling, No dimensioning",38.5
2022A3PS0492P,16.5,Missing hidden and extra visible,25,,18,"No labelling, No dimensioning, but Correct
answer",59.5
2022A4PS0543P,19,missing hidden lines,24,True length dimensioning not done,9.5,"Circle diameter wrong, Incomplete Part 2,
Did not do Part 3, Incorrect labelling, No
dimensioning",52.5
2022A4PS0617P,13,"Missing hidden, cenetr lines, wrong
dimension, location of points",0,No drawing available,16,incorrect 3rd stage no dim,29
2022A4PS0868P,16,"Missing hidden and center lines, extra lines,
incomplete drawing",18,"Dimensions are missing,values are wrong",14,incomplete 2nd and 3rd stages,48
2022A4PS0895P,19,Missing hidden,14,"Projections are wrong, values are wrong",0,Did not attend,33
"",2022A4PS0941P,19,Missing hidden lines,0,No drawing available,17.5,incomplete final stage(-1.5) no dimensioning,36.5
"",2022A4PS0955P,5,Wrong views,4,Wrong,0,Did not attend,9
"",2022A1PS1040P,10,"Missing hidden, extra visible, wrong
orientation",13,Wrong Solution,0,Did not attend,23
"",2022A7PS1169P,13,"missing hidden lines,no labelling,center line
missing hidden lines",0,Not Attempt,3,"Wrong hexagon orientation, Wrong circle
diameter, Did not do Part 2 and 3, No
labelling and dimensioning",16
"",2022A7PS1177P,20.5,7,Wrong Solution,9,"Incomplete Part 2, Did not do Part 3, No
labelling and dimensioning",36.5,
"",2022A3PS1195P,18,"Missing hidden lines, center and extra lines
,labelling",2,"Wrong solution, procedure and dimensions",0,no  attempt,20
"",2022A3PS1197P,,,,,,,0
"",2022A3PS1216P,19,Missing hidden lines,25,,9.5,"incorrect stage 2 , incorrect line type",53.5
"",2022A1PS1328P,12,"Missing hidden and center lines, not drawn
Acco grid points, wrong orientation",2,"Wrong solution, procedure and dimensions",8,incorrect 2nd and 3rd stage,22
"",2022A4PS1563P,20.5,missing hidden lines,21,"exchange of point, some dimension are
missing",13.5,"Incomplete Part 3, Missing labelling, No
dimensioning",55
