ID,Section,Lab-01,Lab-02,Lab-03,Lab-04,Lab-05,Lab-06,Lab-07,Lab-08,Lab-09 (17.5),Lab-10,Best 8,Normalize,Compre quiz(60),Total,Total
2022D2TS1552P,P10N,17.5,17.5,16.5,16.5,17.5,17.5,17.5,0,0,17.5,138,138,13,151,151
2022D2TS1553P,P10N,16.5,15.5,13.5,17.5,17.5,17.5,17.5,16.5,16.5,17.5,137,137,17.5,154.5,155
2022A1PS0832P,P11N,16,17.5,16.5,17,17.5,17,17,0,15,0,133.5,133.9784946,25,158.978495,159
2022A1PS0982P,P11N,13.5,17.5,17.5,16,17.5,17,17,0,17,17.5,137,137.4910394,14.5,151.991039,152
2022A1PS1099P,P11N,16,17,17.5,17,17.5,17,17.5,0,17.5,17.5,138.5,138.9964158,26.5,165.496416,166
2022A2PS1085P,P11N,15.5,0,17.5,15,17.5,17,17.5,16.5,17,17.5,136,136.4874552,24,160.487455,161
2022A2PS1112P,P11N,17.5,12.5,17.5,17.5,17.5,17.5,5.5,16.5,17.5,0,134,134.4802867,21,155.480287,156
2022A2PS1125P,P11N,16.5,17.5,17.5,15.5,17.5,17,17.5,0,17.5,0,136.5,136.9892473,26,162.989247,163
2022A2PS1161P,P11N,0,0,16,16.5,17.5,0,17,16.5,17,17.5,118,118.4229391,27,145.422939,146
2022A3PS0357P,P11N,17,17.5,17.5,16,17.5,17.5,5.5,16.5,0,17.5,137,137.4910394,28,165.491039,166
2022A3PS0376P,P11N,0,16,17,17,17.5,17,0,17.5,0,0,102,102.3655914,33,135.365591,136
2022A3PS0380P,P11N,17.5,17,17.5,17,17.5,17,17,0,15,17.5,138,138.4946237,34,172.494624,173
2022A3PS0431P,P11N,17.5,16.5,17.5,13,17.5,17.5,17,16.5,17,17.5,138,138.4946237,23,161.494624,162
2022A3PS0451P,P11N,17,17.5,17,15.5,0,13.5,13,0,13,17.5,124,124.4444444,37.5,161.944444,162
2022A3PS0456P,P11N,15.5,17,17,15,16.5,0,16,17.5,0,17.5,132,132.4731183,32,164.473118,165
