ID,Mid,T1,T2,T3,T4,T5,Best 4,Tut(80),PCT,Comp(45),Comp(75),Comp,CT(300)
0028P,15,0,2,0,10,0,12,16,31,3,3,6,37
0065P,20,15,0,5,5,9,34,46,66,13,2,15,81
0673P,41,7,15,6,6,9,37,50,91,23,25,48,139
0702P,20,0,3,4,0,0,7,10,30,5,0,5,35
0204P,52,15,15,15,5,13,58,78,130,23,18,41,171
1353P,8,0,1,6,4,0,11,15,23,2,0,2,25
0476P,37,2,7,12,0.5,2,23,31,68,16,9,25,93
0697P,34,8,15,15,0,12,50,67,101,13,17,30,131
1272P,22,12,10,15,3,1,40,54,76,20,3,23,99
1260P,33,7,15,12,6,15,49,66,99,14,22,36,135
1175P,86,12,15,15,1,15,57,76,162,24,28,52,214
0900P,12,2,8,3,2,1,15,20,32,0,3,3,35
1295P,27,11,10,7,1,0,29,39,66,6,5,11,77
0244P,58,0,11,15,8,13,47,63,121,20,22,42,163
1261P,34,0,13,15,7,15,50,67,101,21,0,21,122
0313P,42,15,15,15,11,15,60,80,122,18,7,25,147
1720P,15,0,8,15,3,9,35,47,62,10,10,20,82
0074P,39,9,0,1,15,9,34,46,85,18,16,34,119
0422P,26,5,15,0,2,0,22,30,56,13,4,17,73
0109P,0,0,0,3,0,3,6,8,8,3,2,5,13
0408P,53,1,13,12,13,12,50,67,120,11,7,18,138
0364P,36,0,0,2,4,10,16,22,58,12,11,23,81
0394P,20,1,8,8,6,4,26,35,55,5,2,7,62
0946P,5,1,0,4,3,12,20,27,32,3,0,3,35
1248P,26,1,15,15,7,6,43,58,84,17,14,31,115
0252P,11,4,0,4,6,5,19,26,37,3,4,7,44
0523P,61,9.5,14,6,12,15,50.5,68,129,23,7,30,159
0322P,8,1,0,2,1,3,7,10,18,5,6,11,29
0959P,20,9,15,5,14,9,47,63,83,3,4,7,90
1043P,12,5,10,4,4,11,30,40,52,4,2,6,58
0507P,34,0,11,3,0,13,27,36,70,3,12,15,85
0166P,47,13,15,15,10,15,58,78,125,14,7,21,146
0041P,3,11,14,4,0,5,34,46,49,0,0,0,49
0747P,50,9,15,2,15,15,54,72,122,14,20,34,156
0053P,4,0,0,4,4,1,9,12,16,3,2,5,21
1191P,45,15,15,5,5,1,40,54,99,13,2,15,114
1176P,69,5,15,15,15,12,57,76,145,26,21,47,192
2011P,0,0,0,0,0,0,0,0,0,0,0,0,0
0473P,49,0,5,0,15,0,20,27,76,11,5,16,92
0484P,52,6,2,14,1,1,23,31,83,7,10,17,100
1443P,5,2,0,1,2,2,7,10,15,2,0,2,17
1273P,43,0,0,9,0,0,9,12,55,0,0,0,55
0042P,5,15,13,10,9,4,47,63,68,2,2,4,72
0088P,29,15,12,15,15,15,60,80,109,11,5,16,125
0339P,2,10,5,4,1,12,31,42,44,2,0,2,46
0399P,14,11,0,8,4,4,27,36,50,21,10,31,81
0444P,27,4,0,4,6,0,14,19,46,0,0,0,46
1283P,12,12,12,7,15,0,46,62,74,6,0,6,80
0159P,69,0,5,0,2,15,22,30,99,27,19,46,145
0067P,0,0,0,0,0,2,2,3,3,5,0,5,8
0599P,18,4,12,3,4,0,23,31,49,14,4,18,67
0708P,13,0,8,4,0.5,3,15.5,21,34,8,2,10,44
0054P,9,0,0,6,0,0,6,8,17,0,1,1,18
0107P,2,0,15,12,0,14,41,55,57,0,0,0,57
0871P,17,1,0,0,0,0,1,2,19,0,0,0,19
0326P,39,8,15,5,4,1,32,43,82,20,13,33,115
0219P,58,0,7,8,14,7,36,48,106,28,9,37,143
0260P,85,15,15,7,15,13,58,78,163,20,22,42,205
0774P,29,10,15,15,15,10,55,74,103,9,6,15,118
0957P,13,0.5,0,0,2,0,2.5,4,17,10,5,15,32
0133P,45,10,15,15,15,15,60,80,125,21,7,28,153
0098P,33,0,15,6,15,13,49,66,99,24,14,38,137
1668P,17,0,15,15,4,0,34,46,63,5,6,11,74
0481P,0,0,11,15,4,11,41,55,55,21,2,23,78
0896P,7,0,13,6,7,6,32,43,50,1,0,1,51
0211P,5,0,0,3,4,7,14,19,24,3,0,3,27
0465P,37,4,14,15,15,15,59,79,116,26,11,37,153
0510P,2,0,0,0,0,0,0,0,2,5,0,5,7
1330P,5,0,0,0,1,0,1,2,7,0,0,0,7
1230P,69,12,15,11,5,8,46,62,131,17,11,28,159
0402P,34,6,8,5,15,11,40,54,88,21,7,28,116
0897P,21,6,3,4,3,0,16,22,43,16,3,19,62
0883P,23,0,4,13,3,5,25,34,57,3,0,3,60
1573P,18,0,4,0,6,15,25,34,52,7,3,10,62
0973P,18,15,15,0,15,12,57,76,94,10,10,20,114
0058P,0,0,0,0,0,0,0,0,0,0,0,0,0
0947P,43,0,15,0,0,13,28,38,81,25,23,48,129
1115P,6,0,15,0,4,0,19,26,32,5,0,5,37
0921P,13,9,15,0,0,10,34,46,59,10,0,10,69
0925P,0,0,5,0,11,0,16,22,22,3,1,4,26
0135P,14,0.5,0,0,0,0,0.5,1,15,0,0,0,15
0372P,56,12,8,5,15,5,40,54,110,15,22,37,147
0526P,11,12,10,10,0.5,11,43,58,69,18,0,18,87
0026P,8,8,0,5,0,3,16,22,30,3,4,7,37
0292P,48,8.5,15,6,15,2,44.5,60,108,12,3,15,123
0451P,46,6,15,9,15,15,54,72,118,24,16,40,158
1170P,52,13,11,14,0,11,49,66,118,29,8,37,155
1254P,15,14,,15,5,15,44,59,74,3,2,5,79
1316P,19,0,2,0,0,0,2,3,22,8,2,10,32
0719P,32,0,15,5,15,15,50,67,99,10,6,16,115
0004P,12,13,3,6,13,15,47,63,75,16,19,35,110
0137P,29,12,15,13,13,13,54,72,101,22,7,29,130
1168P,1,2,11,0,7,15,35,47,48,9,0,9,57
1040P,24,1,8,4,1,0,14,19,43,3,0,3,46
0243P,36,0,15,10,10,13,48,64,100,13,6,19,119
0190P,9,0,10,7,10,4,31,42,51,0,0,0,51
0085P,18,4,2,12,5,10,31,42,60,5,2,7,67
1196P,34,13,15,15,4,12,55,74,108,12,11,23,131
0485P,62,0,0,5,1,0,6,8,70,21,7,28,98
0031P,15,6,0,0,1,0,7,10,25,6,0,6,31
0965P,13,0,15,2,4,12,33,44,57,15,8,23,80
0182P,7,7,5,0,4,1,17,23,30,3,1,4,34
0503P,50,12,15,8,2,14,49,66,116,18,8,26,142
1274P,11,2,2,1,5,11,20,27,38,16,7,23,61
1332P,23,2,3,5,11,7,26,35,58,4,5,9,67
1306P,48,6,15,15,15,12,57,76,124,12,7,19,143
0068P,8,7,12,3,3,4,26,35,43,0,2,2,45
0173P,71,15,14,7,15,9,53,71,142,22,17,39,181
0081P,71,9,15,15,4,6,45,60,131,22,29,51,182
1206P,36,3,8,1,9,11,31,42,78,6,12,18,96
0557P,30,5,15,4,7,4,31,42,72,8,2,10,82
