ID,Mid,T1,T2,T3,T4,T5,Best 4,Tut(80),PCT,Comp(45),Comp(75),Comp,CT(300)
1197P,38,1.5,0,0,1,0,2.5,4,42,18,1,19,61
0164P,62,15,15,15,15,15,60,80,142,25,7,32,174
0543P,20,2,10,4,0,12,28,38,58,6,3,9,67
0115P,76,15,15,3,0,12,45,60,136,26,28,54,190
0171P,44,4,12,4,4,0,24,32,76,12,8,20,96
0982P,0,0,11,4,15,12,42,56,56,3,0,3,59
0475P,47,3,9,12,8,12,41,55,102,12,1,13,115
1195P,13,6,14,11,12,8,45,60,73,18,5,23,96
0214P,44,0,8,15,11,15,49,66,110,32,33,65,175
1294P,3,0,0,3,0,0,3,4,7,13,3,16,23
1216P,55,7,14.5,15,2,2,38.5,52,107,24,13,37,144
0405P,45,1,15,15,5,15,50,67,112,18,6,24,136
1177P,13,10,11,6,13,13,47,63,76,25,33,58,134
0784P,6,2,2,2,4,8,16,22,28,0,9,9,37
1365P,0,0,0,0,4,1,5,7,7,0,0,0,7
1212P,50,6,15,13,6,15,49,66,116,29,15,44,160
0215P,40,12.5,4,0,4,12,32.5,44,84,12,3,15,99
1204P,80,5,7,8,2,13,33,44,124,14,7,21,145
1220P,42,13,15,15,15,1,58,78,120,19,20,39,159
0247P,43,3,15,0,15,11,44,59,102,21,21,42,144
0538P,36,0,13,4,0,15,32,43,79,9,11,20,99
1328P,34,12,11,15,12,15,54,72,106,14,10,24,130
0055P,61,8,15,10,4,15,48,64,125,32,39,71,196
1056P,15,0,14,7,2,13,36,48,63,9,1,10,73
1360P,37,4,10,13,6,6,35,47,84,3,7,10,94
0782P,28,10,15,15,12,0,52,70,98,2,2,4,102
0265P,67,0,10,2,15,15,42,56,123,17,8,25,148
1256P,25,5,15,15,11,11,52,70,95,22,0,22,117
0142P,32,0,15,15,15,15,60,80,112,5,0,5,117
1343P,6,2,12,0,4,8,26,35,41,0,4,4,45
0047P,58,5,15,15,4,3,39,52,110,28,20,48,158
0545P,0,0,0,10,0,0,10,14,14,0,0,0,14
0075P,21,7,2,15,15,15,52,70,91,5,3,8,99
0140P,71,7,15,15,11,15,56,75,146,30,29,59,205
1267P,14,7,15,15,4,15,52,70,84,16,9,25,109
0412P,17,2,15,6,5,12,38,51,68,14,2,16,84
1181P,39,8,15,4,4,1,31,42,81,6,10,16,97
0360P,49,0,13,10,4,15,42,56,105,10,10,20,125
0578P,26,8,9,6,3,15,38,51,77,18,14,32,109
0102P,24,2,15,9,0,13,39,52,76,9,1,10,86
0508P,40,6,14,15,15,15,59,79,119,22,20,42,161
0131P,0,0,0,0,0,0,0,0,0,3,0,3,3
1595P,1,0,5,2,15,15,37,50,51,2,0,2,53
1287P,36,11,11,6,12,11,45,60,96,5,5,10,106
0157P,25,2,0,13,0,7,22,30,55,10,8,18,73
0651P,28,12,0,0,4,10,26,35,63,20,1,21,84
0268P,61,7,14,15,10,15,54,72,133,17,8,25,158
1188P,98,12,15,10,7,11,48,64,162,33,10,43,205
1229P,27,15,4,15,15,15,60,80,107,21,5,26,133
1322P,32,11,0,2,12,8,33,44,76,2,10,12,88
0187P,67,12,15,11,15,15,57,76,143,24,13,37,180
1293P,28,10,6,15,0,6,37,50,78,9,6,15,93
0155P,21,3,0,6,1,0,10,14,35,2,3,5,40
0282P,63,4,7,15,2,14,40,54,117,20,10,30,147
0070P,77,12,15,15,15,13,58,78,155,24,17,41,196
1172P,0,0,0,0,0,9,9,12,12,0,3,3,15
0003P,11,11.5,3,4,10,6,31.5,42,53,14,9,23,76
0493P,40,0,3,7,5,8,23,31,71,22,5,27,98
1258P,39,5,15,15,12,15,57,76,115,11,4,15,130
0466P,33,9,13.5,15,11,15,54.5,73,106,25,8,33,139
1186P,62,15,15,9,15,15,60,80,142,28,20,48,190
1734P,31,3,14,6,13,15,48,64,95,23,8,31,126
0749P,18,1,9,4,4,2,19,26,44,7,2,9,53
0183P,53,5,13,0,15,11,44,59,112,29,6,35,147
0097P,84,0,15,10,15,13,53,71,155,22,13,35,190
0264P,28,7,14,14,6,9,44,59,87,16,7,23,110
0392P,56,14,13,15,15,7,57,76,132,20,7,27,159
1264P,32,1,14,14,4,3,35,47,79,9,6,15,94
0007P,14,1,12,0,15,14,42,56,70,7,5,12,82
0561P,63,5,15,11,6,15,47,63,126,8,9,17,143
0150P,48,10,15,15,4,15,55,74,122,20,26,46,168
0168P,92,1,15,5,8,0,29,39,131,25,22,47,178
0376P,32,2,15,10,4,15,44,59,91,10,2,12,103
1563P,33,12,12,15,7,11,50,67,100,6,3,9,109
0154P,42,15,15,11,15,0,56,75,117,15,5,20,137
0903P,13,12,15,6,8,15,50,67,80,10,5,15,95
0086P,56,15,15,15,15,9,60,80,136,37,23,60,196
1719P,17,0,15,0,3,2,20,27,44,12,5,17,61
0035P,3,5,0,7,12,15,39,52,55,3,12,15,70
0827P,16,1,11,0,5,0,17,23,39,13,11,24,63
0855P,34,1,15,2,1,0,19,26,60,5,0,5,65
0226P,58,5,15,7,0,15,42,56,114,23,18,41,155
1200P,49,10,13,15,15,13,56,75,124,31,20,51,175
1209P,35,2,0,6,5,2,15,20,55,14,9,23,78
0615P,16,2,1,0,0,0,3,4,20,15,11,26,46
0540P,6,6,1,10,0,1,18,24,30,3,0,3,33
0643P,31,1,15,7,12,15,49,66,97,8,4,12,109
0256P,25,2,9,15,8,15,47,63,88,19,6,25,113
0172P,73,10,15,11,14,7,50,67,140,27,15,42,182
0084P,69,12,14,8,15,15,56,75,144,28,38,66,210
0795P,11,0,2,3,0,1,6,8,19,5,0,5,24
0366P,16,15,12,15,4,9,51,68,84,13,10,23,107
0689P,24,5,6,10,11,11,38,51,75,4,4,8,83
0223P,2,0,0,0,0,0,0,0,2,3,0,3,5
1695P,17,14,5,8,4,15,42,56,73,2,0,2,75
0455P,68,11,7,12,4,11,41,55,123,22,3,25,148
1463P,2,0,0,0,0,0,0,0,2,5,3,8,10
1182P,87,15,15,14,15,0,59,79,166,36,29,65,231
1270P,14,5,15,6,1,1,27,36,50,15,7,22,72
0033P,10,3,10,12,3,2,28,38,48,7,0,7,55
0153P,75,15,15,14,0,4,48,64,139,26,8,34,173
0231P,53,15,11,11,12,11,49,66,119,25,22,47,166
0013P,52,14,8,15,15,11,55,74,126,18,0,18,144
0189P,2,0,0,0,5,0,5,7,9,2,0,2,11
0820P,19,8,15,15,4,15,53,71,90,9,0,9,99
1231P,40,3,15,0,15,12,45,60,100,11,3,14,114
0069P,0,0,12,2,9,1,24,32,32,0,0,0,32
0556P,58,12,13,7,15,15,55,74,132,17,13,30,162
0184P,26,0.5,0,0,0,6,6.5,9,35,15,1,16,51
1339P,7,5,15,0,12,0,32,43,50,0,0,0,50
0134P,57,0,5,15,15,12,47,63,120,17,30,47,167
0145P,98,15,14,15,15,0,59,79,177,44,30,74,251
0492P,41,5,15,8,0,15,43,58,99,14,6,20,119
0063P,0,0,0,0,0,0,0,0,0,0,0,0,0
0449P,15,3.5,9,15,13,11,48,64,79,17,12,29,108
0441P,22,6,12,9,11,1,38,51,73,10,2,12,85
0089P,93,12,14,11,15,6,52,70,163,21,16,37,200
0321P,45,12,13,12,15,12,52,70,115,13,12,25,140
1327P,14,1,1,2,0,3,7,10,24,3,1,4,28
0624P,38,0,15,15,0,10,40,54,92,9,9,18,110
1149P,30,10,9,3,6,3,28,38,68,6,5,11,79
1208P,12,4,4,10,11,12,37,50,62,13,3,16,78
1276P,34,1,11,4,4,11,30,40,74,16,3,19,93
0125P,23,15,7,12,1,9,43,58,81,8,0,8,89
0078P,86,10,15,15,11,15,56,75,161,21,11,32,193
0091P,73,11,15,15,4,1,45,60,133,29,23,52,185
1567P,0,0,0,0,0,0,0,0,0,0,0,0,0
0221P,19,1,13,0,2,0,16,22,41,15,2,17,58
0380P,21,8.5,9,0,4,10,31.5,42,63,6,6,12,75
0012P,26,12,15,15,1,15,57,76,102,13,9,22,124
0114P,19,0.5,0,0,4,0,4.5,6,25,0,2,2,27
1354P,5,0,15,15,15,5,50,67,72,2,3,5,77
0911P,13,10,1,4,4,1,19,26,39,0,0,0,39
1311P,18,4,12,12,9,12,45,60,78,6,5,11,89
0831P,43,12.5,9.5,4,0,0,26,35,78,6,4,10,88
1252P,56,0,9,15,15,13,52,70,126,22,5,27,153
