ID NO,Pre-compre (120),Compre (80),Post-compre (200)
2022AAPS0363P,92.6,79.0,171.6
2022A3PS0387P,86.7,40.0,126.7
2022A3PS0427P,74.1,31.0,105.1
2022A3PS0447P,58.3,33.0,91.3
2022A3PS0448P,87.0,61.0,148.0
2022A3PS0465P,87.1,32.0,119.1
2022A3PS0467P,47.5,20.0,67.5
2022A3PS0508P,75.8,42.0,117.8
2022A8PS0564P,99.1,35.0,134.1
2022A4PS0808P,76.4,46.0,122.4
2022A1PS0820P,80.8,43.0,123.8
2022A4PS0975P,61.4,17.0,78.4
2022AAPS1191P,74.2,36.0,110.2
2022A3PS1208P,62.7,42.0,104.7
2022A8PS1210P,59.6,50.0,109.6
2022A3PS1212P,72.3,59.5,131.8
2022A3PS1215P,82.8,60.5,143.3
2022A3PS1220P,103.2,65.0,168.2
2022A8PS1243P,69.7,61.0,130.7
2022A8PS1260P,113.2,58.5,171.7
2022A8PS1270P,89.3,31.0,120.3
2022A4PS1274P,75.4,49.0,124.4
2022A4PS1296P,94.5,49.5,144.0
2022A1PS1595P,100.2,45.0,145.2
2022A1PS1695P,86.0,25.0,111.0
2022AAPS0230P,5.5,4.0,9.5
P5N,,,
2022A7PS0010P,109.1,73.0,182.1
2022A7PS0033P,65.3,44.0,109.3
2022A7PS0038P,73.6,28.0,101.6
2022A7PS0056P,108.9,72.0,180.9
2022A7PS0065P,83.7,72.0,155.7
2022A7PS0080P,115.2,71.0,186.2
2022A7PS0084P,89.0,77.0,166.0
2022A7PS0133P,102.4,63.0,165.4
2022A7PS0142P,96.4,46.0,142.4
2022A7PS0148P,72.3,43.0,115.3
2022A7PS0156P,57.6,43.0,100.6
2022A7PS0178P,113.2,69.0,182.2
2022AAPS0231P,76.6,64.0,140.6
2022AAPS0234P,95.5,40.0,135.5
2022AAPS0256P,99.2,65.0,164.2
2022AAPS0264P,89.7,54.5,144.2
2022A3PS0327P,85.6,26.0,111.6
2022A3PS0394P,76.7,37.5,114.2
2022A3PS0418P,108.2,56.0,164.2
2022A3PS0441P,69.8,53.0,122.8
2022A3PS0445P,69.2,34.0,103.2
2022A3PS0498P,99.6,58.0,157.6
2022A3PS0500P,69.1,23.0,92.1
2022A4PS0502P,64.3,72.5,136.8
2022A3PS0503P,39.0,19.0,58.0
2022A3PS0507P,41.7,33.0,74.7
2022A4PS0545P,62.4,20.0,82.4
2022A8PS0583P,96.9,45.0,141.9
2022A1PS0589P,81.0,77.0,158.0
2022A8PS0591P,85.7,54.0,139.7
2022A4PS0626P,60.9,41.5,102.4
2022A4PS0792P,94.9,36.0,130.9
2022A1PS0946P,50.8,28.0,78.8
2022A4PS0947P,102.4,53.0,155.4
2022A7PS1181P,69.2,46.0,115.2
2022A3PS1214P,108.6,60.0,168.6
2022A3PS1223P,82.1,44.0,126.1
2022A3PS1234P,103.4,61.0,164.4
2022A8PS1263P,83.0,42.0,125.0
2022A8PS1264P,71.3,32.0,103.3
2022A4PS1273P,24.9,0.0,24.9
2022A4PS1284P,73.8,43.5,117.3
2022A4PS1289P,73.6,47.5,121.1
2022A4PS1562P,93.4,40.0,133.4
P6N,,,
2021D2TS2087P,43.1,0.0,43.1
2022A7PS0005P,66.3,30.0,96.3
2022A7PS0017P,89.5,25.5,115.0
2022A3PS0034P,66.6,24.0,90.6
2022A7PS0036P,117.0,72.5,189.5
2022A7PS0037P,77.0,51.5,128.5
2022A7PS0053P,66.1,28.0,94.1
2022A7PS0078P,90.5,52.0,142.5
2022A7PS0083P,83.7,42.0,125.7
2022A7PS0085P,66.5,25.0,91.5
2022A7PS0087P,98.0,62.5,160.5
2022A7PS0111P,75.9,36.0,111.9
2022A7PS0121P,77.4,46.5,123.9
2022AAPS0194P,86.6,16.0,102.6
2022AAPS0198P,113.4,56.5,169.9
2022AAPS0203P,88.9,46.0,134.9
2022AAPS0240P,75.3,37.0,112.3
2022AAPS0247P,100.9,49.0,149.9
2022AAPS0322P,64.4,26.5,90.9
2022AAPS0358P,88.5,70.0,158.5
2022A3PS0375P,66.7,43.0,109.7
2022A3PS0431P,73.0,43.0,116.0
2022A3PS0484P,84.7,29.0,113.7
2022A3PS0528P,82.0,55.0,137.0
2022A4PS0556P,115.5,77.0,192.5
2022A8PS0611P,89.0,72.5,161.5
2022A4PS0660P,73.4,56.0,129.4
2022A1PS0661P,32.6,22.0,54.6
2022A4PS0781P,93.0,71.0,164.0
2022A1PS0784P,63.4,30.0,93.4
2022A1PS0841P,98.6,30.0,128.6
2022A4PS0896P,58.3,21.0,79.3
2022A4PS0938P,77.5,17.0,94.5
2022A1PS0959P,75.2,43.0,118.2
2022A1PS1104P,68.2,0.0,68.2
2022A1PS1134P,62.4,27.0,89.4
2022A7PS1178P,88.5,39.0,127.5
2022A3PS1209P,73.5,35.0,108.5
2022A3PS1213P,103.1,0.0,103.1
2022A3PS1219P,67.0,44.0,111.0
2022A3PS1229P,84.3,37.0,121.3
2022A8PS1254P,82.4,42.0,124.4
2022A5PS1454P,55.7,29.5,85.2
2022A5PS1462P,70.2,30.0,100.2
2022A1PS1576P,86.5,49.0,135.5
2022A1PS1596P,93.4,35.0,128.4
2022A8PS1731P,91.2,43.0,134.2
P7N,,,
2022A7PS0003P,99.5,78.5,178.0
2022A7PS0008P,86.0,57.0,143.0
2022AAPS0028P,68.3,29.5,97.8
2022A7PS0052P,70.4,18.0,88.4
2022A7PS0069P,61.4,36.0,97.4
2022A7PS0089P,71.7,45.0,116.7
2022A7PS0091P,81.1,61.0,142.1
2022A7PS0094P,112.0,63.0,175.0
2022A7PS0097P,105.1,58.0,163.1
2022A7PS0106P,68.1,0.0,68.1
2022A7PS0126P,92.8,42.0,134.8
2022A7PS0140P,107.9,74.0,181.9
2022A7PS0141P,85.0,72.0,157.0
2022A7PS0153P,106.2,64.0,170.2
2022A7PS0164P,113.5,77.0,190.5
2022A7PS0165P,100.5,58.0,158.5
2022AAPS0207P,84.0,51.0,135.0
2022AAPS0210P,103.9,57.0,160.9
2022AAPS0248P,80.2,71.0,151.2
2022AAPS0255P,43.6,13.0,56.6
2022AAPS0305P,74.5,57.0,131.5
2022AAPS0311P,102.5,69.0,171.5
2022AAPS0369P,64.3,23.0,87.3
2022A3PS0405P,75.1,15.0,90.1
2022A8PS0424P,67.1,15.0,82.1
2022A3PS0437P,99.5,45.0,144.5
2022A3PS0510P,53.3,25.0,78.3
2022A3PS0523P,92.6,56.0,148.6
2022A4PS0578P,102.8,61.5,164.3
2022A8PS0620P,80.4,54.0,134.4
2022A4PS0749P,62.1,21.0,83.1
2022A4PS0965P,66.7,51.0,117.7
2022A1PS1069P,41.8,27.0,68.8
2022A1PS1126P,62.7,13.0,75.7
2022A7PS1173P,66.7,8.0,74.7
2022A7PS1176P,106.2,53.0,159.2
2022A7PS1189P,80.5,67.0,147.5
2022A3PS1205P,97.7,47.0,144.7
2022A3PS1222P,104.7,55.0,159.7
2022A3PS1227P,86.0,69.5,155.5
2022A3PS1228P,89.9,48.0,137.9
2022A3PS1232P,69.2,67.0,136.2
2022A8PS1258P,57.3,25.0,82.3
2022A8PS1262P,97.7,43.0,140.7
2022A4PS1276P,75.0,39.0,114.0
2022A4PS1294P,56.1,29.0,85.1
P8N,,,
2022A7PS0009P,88.5,62.0,150.5
2022A7PS0057P,72.3,17.0,89.3
2022A7PS0067P,29.0,48.0,77.0
2022A7PS0070P,90.4,62.0,152.4
2022A7PS0088P,89.4,58.0,147.4
2022A7PS0100P,87.7,37.0,124.7
2022A7PS0113P,112.5,55.0,167.5
2022A7PS0136P,68.9,39.0,107.9
2022A7PS0143P,70.9,41.0,111.9
2022A7PS0147P,78.5,70.5,149.0
2022A7PS0155P,45.1,23.0,68.1
2022A7PS0168P,86.9,60.0,146.9
2022AAPS0218P,113.0,54.0,167.0
2022AAPS0226P,87.1,57.0,144.1
2022AAPS0232P,83.8,49.0,132.8
2022AAPS0243P,85.4,61.0,146.4
2022AAPS0251P,90.7,57.0,147.7
2022A3PS0260P,83.2,79.0,162.2
2022AAPS0321P,66.2,0.0,66.2
2022AAPS0360P,82.2,18.0,100.2
2022A3PS0364P,91.8,59.0,150.8
2022A3PS0389P,79.3,28.0,107.3
2022A3PS0425P,91.7,65.0,156.7
2022A3PS0476P,68.5,34.0,102.5
2022A8PS0515P,92.7,51.5,144.2
2022A8PS0570P,90.3,38.0,128.3
2022A1PS0714P,83.4,50.5,133.9
2022A4PS0748P,95.6,35.0,130.6
2022A4PS0827P,83.4,43.0,126.4
