ID,T1,T2,Mid,Tot (130)
0203P,15,2,80,97
0326P,8,15,39,62
1307P,2,0,23,25
0561P,5,15,63,83
0431P,0,15,7,22
1212P,6,15,50,71
0080P,10,14,69,93
0871P,1,0,17,18
1211P,6,15,39,60
1283P,12,12,12,36
0017P,5,15,56,76
0078P,10,15,86,111
0380P,8.5,9,21,38.5
1311P,4,12,18,34
0476P,2,7,37,46
0503P,12,15,50,77
1595P,0,0,1,1
0146P,14,0,37,51
1265P,0.5,0,40,40.5
1243P,10,0,30,40
